d,D,p,Nt,Na,Lf,y,F,Seqv_max,Referencia
13.0,111.5,13.0,58,7.25,355.8,0.37829,10498.25,2780000000.0,2458888F87
13.0,111.5,13.0,58,7.25,355.8,0.36883,10379.77,2800000000.0,2458888F87
13.0,111.5,13.0,58,7.25,355.8,0.35938,10026.89,2590000000.0,2458888F87
13.0,111.5,13.0,58,7.25,355.8,0.34992,9763.96,2490000000.0,2458888F87
13.0,111.5,13.0,58,7.25,355.8,0.34046,9305.04,2510000000.0,2458888F87
13.0,111.5,13.0,58,7.25,355.8,0.331,9365.1,2340000000.0,2458888F87
13.0,111.5,13.0,58,7.25,355.8,0.32155,8985.22,2300000000.0,2458888F87
13.0,111.5,13.0,58,7.25,355.8,0.30761,8572.0,2100000000.0,2458888F87
13.0,111.5,13.0,58,7.25,355.8,0.29367,8189.71,2180000000.0,2458888F87
13.0,111.5,13.0,58,7.25,355.8,0.27974,8051.4,2130000000.0,2458888F87
13.0,111.5,13.0,58,7.25,355.8,0.2658,7468.46,1930000000.0,2458888F87
13.0,111.5,13.0,58,7.25,355.8,0.25186,7025.79,1890000000.0,2458888F87
13.0,111.5,13.0,58,7.25,355.8,0.23792,6696.52,1720000000.0,2458888F87
13.0,111.5,13.0,58,7.25,355.8,0.22399,6221.75,1620000000.0,2458888F87
13.0,111.5,13.0,58,7.25,355.8,0.21005,5863.38,1540000000.0,2458888F87
13.0,111.5,13.0,58,7.25,355.8,0.19611,5491.08,1460000000.0,2458888F87
13.0,111.5,13.0,58,7.25,355.8,0.18218,5047.9,1370000000.0,2458888F87
13.0,111.5,13.0,58,7.25,355.8,0.16824,4852.63,1320000000.0,2458888F87
13.0,111.5,13.0,58,7.25,355.8,0.1543,4339.8,1170000000.0,2458888F87
13.0,111.5,13.0,58,7.25,355.8,0.14037,3899.45,973000000.0,2458888F87
13.0,111.5,13.0,58,7.25,355.8,0.12643,3575.53,922000000.0,2458888F87
13.0,111.5,13.0,58,7.25,355.8,0.11249,3114.44,795000000.0,2458888F87
13.0,111.5,13.0,58,7.25,355.8,0.0986,2734.55,719000000.0,2458888F87
13.0,111.5,13.0,58,7.25,355.8,0.0846,2388.52,643000000.0,2458888F87
13.0,111.5,13.0,58,7.25,355.8,0.0707,2001.31,536000000.0,2458888F87
13.0,111.5,13.0,58,7.25,355.8,0.0567,1589.14,409000000.0,2458888F87
13.0,111.5,13.0,58,7.25,355.8,0.0279,770.39,209000000.0,2458888F87
13.0,111.5,13.0,58,7.25,355.8,0.001,28.01,7250000.0,2458888F87
13.0,110.0,13.0,58,7.25,370.0,0.3648,10748.89,2900000000.0,E2E0CC085E
13.0,110.0,13.0,58,7.25,370.0,0.35568,10388.22,2770000000.0,E2E0CC085E
13.0,110.0,13.0,58,7.25,370.0,0.34656,10165.78,2580000000.0,E2E0CC085E
13.0,110.0,13.0,58,7.25,370.0,0.33744,9898.23,2680000000.0,E2E0CC085E
13.0,110.0,13.0,58,7.25,370.0,0.32832,9592.6,2600000000.0,E2E0CC085E
13.0,110.0,13.0,58,7.25,370.0,0.3192,9085.07,2410000000.0,E2E0CC085E
13.0,110.0,13.0,58,7.25,370.0,0.31008,9070.81,2330000000.0,E2E0CC085E
13.0,110.0,13.0,58,7.25,370.0,0.29731,8697.72,2120000000.0,E2E0CC085E
13.0,110.0,13.0,58,7.25,370.0,0.28454,8298.29,2170000000.0,E2E0CC085E
13.0,110.0,13.0,58,7.25,370.0,0.27178,8060.78,2060000000.0,E2E0CC085E
13.0,110.0,13.0,58,7.25,370.0,0.25901,7509.0,1920000000.0,E2E0CC085E
13.0,110.0,13.0,58,7.25,370.0,0.24624,7262.91,1900000000.0,E2E0CC085E
